merchant,merchant_alias,description,category
Tata 1mg Healthcare,1MG HEALTHCARE,Diagnostic Blood Test Booking,Healthcare
Coursera,COURSERA INC,Coursera Plus Annual Subscription,Education
Bodycraft Salon Salon,BODYCRAFT SALON,Skin De-tan & Haircare Package,Grooming
Tata Power Utility,TATA POWER UTILITY,Electricity Bill Payment,Utilities
Local Kirana Store,KIRANA STORE,Loose Dal & Rice,Groceries
Urban Company Salon,URBAN CLAP SALON,Deep Tissue Full Body Massage,Grooming
Unacademy Edu,SORTING HAT TECHNOLOGIES EDU,UPSC Coaching Subscription,Education
Oyo Rooms Stays,OYO ROOMS STAYS,Business Trip Overnight Stay,Vacation
Swiggy Express,Swiggy Instamart EXPRESS,Chicken Biryani & Coke,Food & Dining
Nature's Basket Direct,SPENCERS NATURES BASKET DIRECT,Exotic Vegetables & Cheese,Groceries
NPS Contribution,CRA NSDL NPS,Tier-1 NPS Retirement Contribution,Investments
Paytm Money Capital,PAYTM CAPITAL CAPITAL,Nifty 50 Mutual Fund SIP,Investments
Local Kirana Store Direct,LAKSHMI STORES DIRECT,Loose Dal & Rice,Groceries
Airtel Broadband Utility,BHARTI AIRTEL UTILITY,Fiber Optic Broadband Monthly Bill 200Mbps,Utilities
Unacademy,SORTING HAT TECHNOLOGIES,UPSC Coaching Subscription,Education
General Miscellaneous UPI Direct,MISC MERCHANT DIRECT,Misc Goods Purchase,Miscellaneous
More Megastore Store,MORE MEGASTORE STORE,Toiletries & Detergent,Groceries
FreshToHome Store,FRESHTOHOME STORE,Fresh Sea Fish,Groceries
Adani Electricity Bill,ADANI ELECTRICITY BILL,Adani Electricity Bill - Recurring Subscription,Utilities
Vi Postpaid Utility,VI POSTPAID UTILITY,Mobile Postpaid Monthly Bill,Utilities
Paytm Money Investments,PAYTM MONEY INVESTMENTS,Paytm Money Investments - Recurring Subscription,Investments
PhysicsWallah,PW LIVE,NEET Prep Study Material,Education
NoBroker Rent Pay,NOBROKER RENT,NoBroker Rental Agreement Fee,Rent & Housing
School Tuition Fee Academy,DELHI PUBLIC SCHOOL FEE ACADEMY,Quarterly School Tuition & Transport Fee,Education
PPF Deposit Capital,PPF DEPOSIT CAPITAL,Annual PPF Tax Saving Contribution,Investments
BESCOM Electricity Utility,BESCOM BILL PAY UTILITY,BESCOM Electricity Utility - Recurring Subscription,Utilities
Oyo Rooms Holidays,ORAVEL STAYS HOLIDAYS,Business Trip Overnight Stay,Vacation
MSEDCL Power Utility,MAHADISCOM UTILITY,MSEDCL Power Utility - Recurring Subscription,Utilities
Society Maintenance Pay,SOCIETY MAINTENANCE PAY,Monthly Society Maintenance & Water Charges,Rent & Housing
Urban Company Spa,URBAN COMPANY SPA,Deep Tissue Full Body Massage,Grooming
Jawed Habib Salon,JAWED HABIB,"Haircut, Wash & Styling",Grooming
SpiceJet Pay,SPICEJET PAY,Excess Baggage Fee,Transportation
Country Delight,ORGANICS COUNTRY DELIGHT,Pure Desi Ghee,Groceries
Prime Video Digital,PRIME VIDEO DIGITAL,Prime Monthly Video Plan,Entertainment
Urban Company Spa,URBAN COMPANY SPA,Deep Tissue Full Body Massage,Grooming
Reliance Fresh Direct,RELIANCE SMART DIRECT,Dry Fruits & Nuts,Groceries
Swiggy Instamart Mart,SWIGGY GROCERY MART,Fresh Fruits Basket,Groceries
D-Mart,AVENUE SUPERMARTS,Cooking Oil & Rice Pack,Groceries
Practo Healthcare,PRACTO CARE HEALTHCARE,Dentist Appointment Booking,Healthcare
Unacademy Learning,SORTING HAT TECHNOLOGIES LEARNING,CAT Exam Preparation Plus Subscription,Education
Scaler Academy Edu,SCALER ACADEMY EDU,Software Engineering Track Installment,Education
Decathlon,DECATHLON SPORTS INDIA,Yoga Mat & Dumbbells,Shopping
BookMyShow,BOOKMYSHOW,Standup Comedy Show Tickets,Entertainment
Licious Store,DELIGHTFUL GOURMET STORE,Mutton Curry Cut,Groceries
PhysicsWallah Edu,PHYSICSWALLAH EDU,JEE Main Target Batch Course Fee,Education
FASTag Recharge Fuel,NETC FASTAG FUEL,National Highway Toll FASTag Topup,Transportation
Naturals Salon,NATURALS SALON,Hair Coloring & Keratin Treatment,Grooming
Upstox Capital,UPSTOX CAPITAL,FNO Options Investment,Investments
Croma Store,CROMA STORE,Air Conditioner 1.5 Ton,Shopping
Blue Tokai Express,BLUE TOKAI EXPRESS,Single Origin Pour-over,Food & Dining
Prime Video Media,PRIME VIDEO MEDIA,Amazon Prime Annual Membership,Entertainment
Zepto Mart,ZEPTO MART,Fresh Tomatoes & Onions,Groceries
School Tuition Fee Learning,SCHOOL FEE LEARNING,Quarterly School Tuition & Transport Fee,Education
HPCL Fuel Pay,HPCL PAY,Diesel Refill,Transportation
IndiGo Pay,INDIGO AIRLINES PAY,Return Flight Booking,Transportation
MakeMyTrip Travels,MAKEMYTRIP TRAVELS,Roundtrip Flight & Hotel Combo,Vacation
Upstox Capital,UPSTOX CAPITAL,FNO Options Investment,Investments
Investor Corporate Payout,SALARY/ROHANNAIR,Monthly Salary Credit - December 2025,Miscellaneous
Taj Hotels Stays,INDIAN HOTELS CO LTD STAYS,Taj Lake Palace Luxury Suite Weekend Stay,Vacation
PVR Cinemas,PVR INOX,PVR Recliner Movie Tickets & Popcorn Combo,Entertainment
Domino's Pizza Outlet,DOMINOS OUTLET,Farmhouse Pizza & Garlic Bread,Food & Dining
Amazon India Store,AMAZON STORE,Wireless Bluetooth Earbuds,Shopping
BPCL Fuel Service,BPCL SERVICE,Two-wheeler Fuel Topup,Transportation
Retired Corporate Payout,SALARY/DEVIYER,Monthly Salary Credit - May 2025,Miscellaneous
Vijay Sales Digital,VIJAY SALES RETAIL DIGITAL,Double Door Refrigerator,Shopping
Rapido,RAPIDO,Rapido Bike Taxi Ride,Transportation
Jawed Habib Salon Salon,JAWED HABIB SALON,"Haircut, Wash & Styling",Grooming
Crossword Bookstore Learning,CROSSWORD BOOKSTORES LEARNING,Notebooks & Premium Stationery,Education
Apple Music Digital,APPLE MUSIC DIGITAL,Apple Music Monthly Student/Individual Plan,Entertainment
Swiggy Instamart Direct,SWIGGY INSTAMART DIRECT,Fresh Fruits Basket,Groceries
Bodycraft Salon,BODYCRAFT SALON & SPA,Skin De-tan & Haircare Package,Grooming
Blinkit Mart,BLINKIT MART,Fresh Vegetables & Fruits,Groceries
General Miscellaneous UPI Services,PERSON TO PERSON UPI SERVICES,Small Local Merchant Payment,Miscellaneous
Booking.com Holidays,BOOKING.COM HOLIDAYS,Luxury Heritage Hotel Stay Jaipur,Vacation
Uber,UBER INDIA,Uber Go Intercity,Transportation
Nature's Basket,SPENCERS NATURES BASKET,Exotic Vegetables & Cheese,Groceries
Chai Point,CHAI POINT,Ginger Chai & Samosa,Food & Dining
Namma Metro,NAMMA METRO,Namma Metro Card Recharge,Transportation
Oyo Rooms,OYO ROOMS,Budget Hotel Stay for 2 Nights,Vacation
Zudio Store,TRENT LTD ZUDIO STORE,Winter Hoodie & Trackpants,Shopping
Ajio,AJIO,Branded Sneakers,Shopping
Wonderla,WONDERLA AMUSEMENT PARK,Amusement Park Fastrack Tickets,Entertainment
Disney+ Hotstar Digital,DISNEY+ HOTSTAR DIGITAL,Disney+ Hotstar Super Plan,Entertainment
WorkingProfessional Corporate Payout,SALARY/DEVNAIR,Monthly Salary Credit - April 2025,Miscellaneous
IOCL Fuel,IOCL,XtraPremium Petrol Refill,Transportation
Chai Point Express,MOUNTAIN TRAIL FOODS EXPRESS,Ginger Chai & Samosa,Food & Dining
Mainland China,SPECIALITY RESTAURANTS,Chinese Buffet,Food & Dining
Netflix,NETFLIX,Netflix Standard Monthly Plan,Entertainment
McDonald's Express,MCDONALDS Jaipur EXPRESS,McVeggie Burger & Fries,Food & Dining
Netflix Digital,NETFLIX.COM DIGITAL,Netflix Standard Monthly Plan,Entertainment
Empire Restaurant,EMPIRE RESTAURANT Jaipur,Ghee Rice & Kebab,Food & Dining
Zerodha,ZERODHA COIN,Monthly Mutual Fund SIP Investment,Investments
Ajio Store,AJIO STORE,Winter Wear Jackets,Shopping
Haldiram's Delivery,HALDIRAM RESTAURANT DELIVERY,Thali Meal,Food & Dining
H&M India Fashion,H&M RETAIL INDIA FASHION,Casual Sneakers,Shopping
Zara India,INDITEX ZARA,Slim Fit Denim Jeans,Shopping
Blinkit Mart,BLINKIT (GROFERS) MART,Daily Milk & Bread,Groceries
MakeMyTrip Holidays,MAKEMYTRIP HOLIDAYS,Roundtrip Flight & Hotel Combo,Vacation
Coursera Learning,COURSERA LEARNING,Coursera Learning - Recurring Subscription,Education
BookMyShow Digital,BOOKMYSHOW DIGITAL,Standup Comedy Show Tickets,Entertainment
Zerodha,ZERODHA,Equity Shares Purchase,Investments
Local Kirana Store Store,KIRANA STORE STORE,Soap & Shampoo Sachet,Groceries
Tata 1mg Care,1MG CARE,Diagnostic Blood Test Booking,Healthcare
MSEDCL Power Bill,MAHARASHTRA ELECTRICITY BILL,MSEDCL Power Bill - Recurring Subscription,Utilities
Ajio Digital,AJIO DIGITAL,Branded Sneakers,Shopping
Blue Tokai Outlet,BLUE TOKAI OUTLET,Croissant & Cold Brew,Food & Dining
Burger King Outlet,BURGER KING OUTLET,Fiery Chicken Wings,Food & Dining
Udemy,UDEMY,Python Data Science Masterclass Course,Education
Apple Music,APPLE MUSIC,Apple Music Monthly Student/Individual Plan,Entertainment
Flipkart Retail,FKMP PAY RETAIL,Smart TV Purchase,Shopping
Zudio Fashion,ZUDIO FASHION,Casual T-shirts & Shorts,Shopping
Chaayos Outlet,SUNSHINE TEAHOUSE OUTLET,Adrak Elaichi Tea,Food & Dining
Air India,TATA AIR INDIA,Business Class Upgrade,Transportation
Swiggy Delivery,SWIGGY*PAY DELIVERY,Chicken Biryani & Coke,Food & Dining
BPCL Fuel Pay,BHARAT PETROLEUM PAY,Speed Petrol Refill,Transportation
PVR Cinemas,PVR INOX,PVR Gold Class Movie Tickets,Entertainment
WorkingProfessional Corporate Payout,SALARY/RIYADESHMUKH,Monthly Salary Credit - January 2025,Miscellaneous
Swiggy,Swiggy Ahmedabad,Butter Chicken Meal,Food & Dining
Air India Fuel,AIR INDIA LTD FUEL,Flight Booking to Mumbai,Transportation
Mainland China Outlet,SPECIALITY RESTAURANTS OUTLET,Chinese Buffet,Food & Dining
Wonderla Digital,WONDERLA DIGITAL,Wonderla Weekend Family Passes,Entertainment
Unacademy Learning,SORTING HAT TECHNOLOGIES LEARNING,UPSC Coaching Subscription,Education
NPS Contribution Investments,CRA NSDL NPS INVESTMENTS,Tier-1 NPS Retirement Contribution,Investments
Zara India Store,ZARA STORE,Leather Handbag,Shopping
Landlord Direct Rent,HOUSE RENT UPI,Room Rent Payment,Rent & Housing
Rapido Service,ROPPEN TRANSPORTATION SERVICE,Rapido Bike Taxi Ride,Transportation
Starbucks Express,STARBUCKS COFFEE EXPRESS,Cold Brew,Food & Dining
Spotify India,SPOTIFY INDIA,Spotify India - Recurring Subscription,Entertainment
Baskin Robbins Express,BASKIN ROBBINS EXPRESS,Two Scoop Waffle Cone,Food & Dining
Swiggy,Swiggy Instamart,Late Night Snacks,Food & Dining
Taj Hotels Holidays,TAJ HOTELS HOLIDAYS,Fine Dining & Spa,Vacation
IOCL Fuel Fuel,INDIANOIL CORP FUEL,Diesel Tank Refill,Transportation
Apple Store Digital,APPLE STORE DIGITAL,MacBook Air M2 Laptop,Shopping
Blinkit Store,HANDS ON TRADES STORE,Fresh Vegetables & Fruits,Groceries
Paytm Money Capital,PAYTM MONEY CAPITAL,ELSS Tax Saver Fund SIP,Investments
Lenskart,LENSKART,Anti-glare Prescription Eyeglasses,Healthcare
Licious Mart,LICIOUS MEAT MART,Atlantic Salmon Fillet,Groceries
Zerodha Capital,ZERODHA COIN CAPITAL,Zerodha Capital - Recurring Subscription,Investments
YouTube Premium Media,YOUTUBE PREMIUM MEDIA,YouTube Family Subscription,Entertainment
Prime Video,AMAZON PRIME SUBSCRIPTION,Amazon Prime Annual Membership,Entertainment
Groww Capital,GROWW SIP CAPITAL,Groww Capital - Recurring Subscription,Investments
Goibibo Holidays,IBIBO GROUP HOLIDAYS,Weekend Hotel Booking in Coorg,Vacation
Dr Lal PathLabs Medical,DR LAL PATHLABS MEDICAL,Full Body Health Checkup Package,Healthcare
Paradise Biryani Express,PARADISE FOOD COURT EXPRESS,Mirchi Ka Salan Combo,Food & Dining
Empire Restaurant Delivery,HOTEL EMPIRE DELIVERY,Empire Special Chicken Dosa,Food & Dining
Uber Fuel,UBER INDIA FUEL,Uber Moto Short Ride,Transportation
Decathlon Digital,DECATHLON DIGITAL,Yoga Mat & Dumbbells,Shopping
Zerodha Capital,ZERODHA BROKING CAPITAL,Monthly Mutual Fund SIP Investment,Investments
Groww,NEXTBILLION TECHNOLOGY,Index Fund SIP Monthly Auto-debit,Investments
NoBroker Rent Pay Pay,NOBROKER TECHNOLOGIES PAY,Monthly Flat Rent Payment,Rent & Housing
Airtel Broadband,AIRTEL XSTREAM,Fiber Optic Broadband Monthly Bill 200Mbps,Utilities
Social,SOCIAL,Craft Beer & Nachos,Food & Dining
Airtel Broadband Utility,BHARTI AIRTEL UTILITY,Airtel Broadband Utility - Recurring Subscription,Utilities
Family Corporate Payout,SALARY/ISHANJOSHI,Monthly Salary Credit - March 2025,Miscellaneous
Blinkit Direct,HANDS ON TRADES DIRECT,Daily Milk & Bread,Groceries
HP Gas Utility,HP GAS UTILITY,HP Gas Utility - Recurring Subscription,Utilities
IRCTC Fuel,IRCTC FUEL,Rajdhani Express AC 2 Tier,Transportation
Third Wave Coffee Delivery,CUSTOMIZED COFFEE PVT DELIVERY,Sea Salt Mocha,Food & Dining
Paradise Biryani,PARADISE FOOD COURT,Hyderabadi Mutton Biryani,Food & Dining
Starbucks Delivery,STARBUCKS DELIVERY,Java Chip Frappuccino,Food & Dining
Zepto Store,ZEPTO DAILY STORE,"Eggs, Milk & Butter",Groceries
Vijay Sales Retail,VIJAY SALES RETAIL,Microwave Oven,Shopping
HP Gas,HINDUSTAN PETROLEUM LPG,HP Gas - Recurring Subscription,Utilities
KFC Outlet,KFC OUTLET,Popcorn Chicken,Food & Dining
Rapido Pay,RAPIDO BIKE PAY,Rapido Bike Taxi Ride,Transportation
Mainland China Express,MAINLAND CHINA EXPRESS,Hakka Noodles & Manchurian,Food & Dining
BigBasket Direct,SUPERMARKET GROCERY DIRECT,Dairy Products,Groceries
Zerodha Capital,ZERODHA BROKING CAPITAL,Equity Shares Purchase,Investments
Apollo Pharmacy,APOLLO 247,First Aid & Skincare Items,Healthcare
Airbnb India Travels,AIRBNB PAYMENTS TRAVELS,Private Villa Booking in Lonavala,Vacation
Uber Service,UBER SERVICE,Uber Moto Short Ride,Transportation
Udemy Learning,UDEMY LEARNING,Python Data Science Masterclass Course,Education
MakeMyTrip Stays,MAKEMYTRIP INDIA STAYS,Roundtrip Flight & Hotel Combo,Vacation
More Megastore Mart,MORE RETAIL MART,Wheat Flour & Rice,Groceries
Society Maintenance Pay,MYGATE MAINTENANCE PAY,Quarterly Maintenance Fee,Rent & Housing
Blinkit Mart,HANDS ON TRADES MART,Late Night Munchies,Groceries
Local Tailor & Repairs Direct,BOUTIQUE ALTERATIONS DIRECT,Stitching & Alteration Charges,Miscellaneous
Social,IMPRESARIO ENTERTAINMENT,Cocktails & Bar Bites,Food & Dining
General Miscellaneous UPI Services,MISC MERCHANT SERVICES,Misc Goods Purchase,Miscellaneous
Nature's Basket Store,SPENCERS NATURES BASKET STORE,Exotic Vegetables & Cheese,Groceries
PPF Deposit,SBI PPF ACCOUNT,Annual PPF Tax Saving Contribution,Investments
Jawed Habib Salon Care,JAWED HABIB HAIR & BEAUTY CARE,Beard Trim & Hair Spa,Grooming
Croma Store,CROMA STORE,OLED 4K Smart TV,Shopping
BookMyShow India,BOOKMYSHOW INDIA,Movie Tickets for 2 - IMAX 3D,Entertainment
Zudio,TRENT LTD ZUDIO,Casual T-shirts & Shorts,Shopping
Goibibo Holidays,GOIBIBO HOLIDAYS,Outstation Cab & Homestay,Vacation
Ola Cabs Service,OLA SERVICE,Ola Mini Ride to Mall,Transportation
IndiGo,INDIGO AIRLINES,Return Flight Booking,Transportation
Subway Express,SUBWAY Bangalore EXPRESS,Sub Meal & Cookie,Food & Dining
Bikanervala Express,BIKANERVALA FOODS EXPRESS,Kaju Katli Box,Food & Dining
Tata Power Utility,TATA POWER UTILITY,Electricity Bill Payment,Utilities
Apple Store Retail,IMAGINE APPLE PREMIUM RETAIL,MacBook Air M2 Laptop,Shopping
PhysicsWallah,PW LIVE,NEET Prep Study Material,Education
Mainland China,SPECIALITY RESTAURANTS,Dim Sum & Dumplings,Food & Dining
Local Tailor & Repairs Services,BOUTIQUE ALTERATIONS SERVICES,Stitching & Alteration Charges,Miscellaneous
Crossword Bookstore Academy,CROSSWORD BOOKSTORES ACADEMY,Technical Books & Fiction Novels,Education
Croma,INFINITI RETAIL CROMA,Washing Machine Front Load,Shopping
IOCL Fuel Fuel,INDIANOIL CORP FUEL,XtraPremium Petrol Refill,Transportation
Zerodha Investments,ZERODHA COIN INVESTMENTS,Equity Shares Purchase,Investments
Goibibo,GOIBIBO,Outstation Cab & Homestay,Vacation
Westside Fashion,WESTSIDE FASHION,Western Dresses,Shopping
Ola Cabs Fuel,OLA AUTO FUEL,Ola Auto Ride,Transportation
Tata Play DTH,TATA PLAY,DTH Monthly HD Pack Recharge,Utilities
Kama Ayurveda,KAMA AYURVEDA RETAIL,Kumkumadi Miraculous Night Serum,Grooming
Blue Tokai,BLUE TOKAI,Single Origin Pour-over,Food & Dining
Kama Ayurveda,KAMA AYURVEDA RETAIL,Bringadi Hair Oil & Ayurvedic Soap,Grooming
Student Corporate Payout,SALARY/SIDDHARTHJOSHI,Monthly Salary Credit - July 2025,Miscellaneous
Tata 1mg,1MG TECHNOLOGIES,Ayurvedic & Health Care Products,Healthcare
Tata Power,TATA POWER DELHI,Electricity Bill Payment,Utilities
Baskin Robbins,BASKIN ROBBINS,Mississippi Mud Sundae,Food & Dining
ICICI Direct,ICICI DIRECT,Equity Portfolio Investment,Investments
Bikanervala Outlet,BIKANERVALA OUTLET,Samosa & Jalebi,Food & Dining
Unacademy,SORTING HAT TECHNOLOGIES,Unacademy - Recurring Subscription,Education
Ajio Fashion,RELIANCE RETAIL AJIO FASHION,Ethnawear Kurtis,Shopping
Zomato Express,Zomato Ltd EXPRESS,North Indian Combo,Food & Dining
Beardo Care,ZED BLACK BEARDO CARE,Beard Oil & Growth Serum,Grooming
Wonderla India,WONDERLA INDIA,Amusement Park Fastrack Tickets,Entertainment
CRED RentPay Pay,CRED RENTPAY PAY,CRED RentPay Pay - Recurring Subscription,Rent & Housing
Apollo Pharmacy Healthcare,APOLLO 247 HEALTHCARE,Monthly Diabetes Medication,Healthcare
PharmEasy Care,API HOLDINGS CARE,Monthly Medicine Order,Healthcare
MSEDCL Power Utility,MAHADISCOM UTILITY,MSEDCL Power Utility - Recurring Subscription,Utilities
IRCTC Fuel,IRCTC E-TICKETING FUEL,3AC Train Ticket Booking,Transportation
Zerodha,ZERODHA COIN,Monthly Mutual Fund SIP Investment,Investments
Practo Healthcare,PRACTO CARE HEALTHCARE,Online Doctor Video Consultation,Healthcare
